Site Name,Description
RedLakeMines_rgb_2024-11-09,"Balmertown is part of the Red Lake gold district in Ontario, Canada, known for high-grade gold deposits in the Balmer Assemblage of Archean rocks. The district has produced over 30 million ounces of gold."
CrownestPass_rgb_2024-10-12,"Located in Coleman, Alberta, this historic coalfield was one of Western Canada’s most productive. It includes mine entries, surface plants, rail links, and community elements illustrating coal mining history."
KingsMountainLithiumMine_rgb_2024-12-08,"Near Charlotte, NC, this lithium mine is being redeveloped by Albemarle to resume open-pit mining. It was idle since the 1990s."
BeauvoirQuarry_rgb_2024-10-28,"An active kaolinite quarry in albite-lepidolite granite near Échassières, France. Known for minerals like wavellite and plumbogummite. The quarry shows mineral changes during alteration, including replacement of lepidolite with muscovite."
KalongweDeposit_rgb_2024-10-26,"A high-grade copper-cobalt mine in Lualaba Province, DRC. Jointly owned by Nzuri Copper (85%), GICC (10%), and the DRC government (5%). Expected to produce ~18,657 tons of copper and 1,370 tons of cobalt annually."
KolweziMine_rgb_2024-10-11,"Ancient copper mine in the DRC, active since 1903. Notable source of carving-grade malachite."
FimistonOpenPit_rgb_2025-01-09,"Also known as the Super Pit, it's Australia’s largest open-cut gold mine, producing nearly 21 tonnes of gold annually."
TancoMine_rgb_2024-11-15,A tantalum-lithium-cesium mine in a 2.67-billion-year-old pegmatite. Owned by Tantalum Mining Corp. of Canada (TANCO).
FooteLithiumMine_rgb_2024-12-23,A large open-pit lithium mine owned by Albemarle. Hosts lithia-bearing granite pegmatite and is known for rare phosphates and silicates.
KokotokayAltayMIne_rgb_2024-12-20,China’s largest Li-Be-Nb-Ta-Cs pegmatite deposit in the Altai belt. Worked for several rare elements. Mining ended in 1999.
BurnagaMine_rgb_2024-09-13,"Located in Rwanda, this mine contains unusual aluminum- and iron-manganese-rich phosphate pegmatite."
AidyrlaGoldDeposit_rgb_2024-11-29,"Mines gold and tungsten. Located on the Aidyrlya river, a tributary of the Suunduk in the Ural river basin."
NovyiAidyrlinskiiMine_rgb_2024-11-29,An abandoned nickel mine.
BishaMine_rgb_2024-12-26,"Located in Eritrea, it's an open-pit VMS deposit producing Zn, Cu, Au, and Ag."
ImourarenUraniumMine_rgb_2024-12-20,Active uranium mine in Niger with 109.1 million tonnes of ore (0.06% U). Joint venture between Areva and SOPaMin.
HoucaoBauxiteDeposit_rgb_2024-10-29,No additional information available.
TsumebMine_rgb_2024-12-16,"Located in Tsumeb, Namibia. An open-cast mine known for a variety of rare minerals. It is one of the top 100 geological heritage sites globally."
